"","SimulationNumber","Node","Community","TrialStatus","DayEnrolled"
"633",14,1273,13,0,56
"634",14,1277,13,0,56
"635",14,1281,13,0,56
"636",14,1285,13,0,56
"637",14,1286,13,0,56
"638",14,1290,13,0,56
"639",14,1291,13,0,56
"640",14,1295,13,0,56
"641",14,1296,13,0,56
"642",14,1297,13,0,56
"643",14,1300,13,0,56
"644",14,1301,13,0,56
"645",14,1302,13,0,56
"646",14,1303,13,0,56
"647",14,1304,13,0,56
"648",14,1305,13,0,56
"649",14,1307,13,0,56
"650",14,1308,13,0,56
"651",14,1309,13,0,56
"652",14,1310,13,0,56
"653",14,1312,13,0,56
"654",14,1313,13,0,56
"655",14,1315,13,0,56
"656",14,1316,13,0,56
"657",14,1317,13,0,56
"658",14,1319,13,0,56
"659",14,1324,13,0,56
"660",14,1325,13,0,56
"661",14,1326,13,0,56
"662",14,1327,13,0,56
"663",14,1328,13,0,56
"664",14,1329,13,0,56
"665",14,1331,13,0,56
"666",14,1332,13,0,56
"667",14,1335,14,1,56
"668",14,1336,14,1,56
"669",14,1338,14,1,56
"670",14,1339,14,1,56
"671",14,1343,14,1,56
"672",14,1344,14,1,56
"673",14,1349,14,1,56
"674",14,1350,14,1,56
"675",14,1355,14,1,56
"676",14,1356,14,1,56
"677",14,1357,14,1,56
"678",14,1360,14,1,56
"679",14,1367,14,1,56
"680",14,1369,14,1,56
"681",14,1371,14,1,56
"682",14,1372,14,1,56
"683",14,1373,14,1,56
"684",14,1374,14,1,56
"685",14,1375,14,1,56
"686",14,1376,14,1,56
"687",14,1377,14,1,56
"688",14,1379,14,1,56
"689",14,1380,14,1,56
"690",14,1382,14,1,56
"691",14,1385,14,1,56
"692",14,1386,14,1,56
"693",14,1387,14,1,56
"694",14,1389,14,1,56
"695",14,1390,14,1,56
"696",14,1393,14,1,56
"697",14,1396,14,1,56
"698",14,1397,14,1,56
"699",14,1399,14,1,56
"700",14,1400,14,1,56
"701",14,1402,14,1,56
"702",14,1406,14,1,56
"703",14,1408,14,1,56
"704",14,1409,14,1,56
"705",14,1410,14,1,56
"706",14,1413,14,1,56
"707",14,1416,14,1,56
"708",14,1418,14,1,56
"709",14,1419,14,1,56
"710",14,1420,14,1,56
"711",14,1422,14,1,56
"712",14,1426,14,1,56
"713",14,1427,14,1,56
"714",14,1428,14,1,56
"715",14,1430,14,1,56
"716",14,1432,15,0,56
"717",14,1433,15,0,56
"718",14,1436,15,0,56
"719",14,1438,15,1,56
"720",14,1443,15,0,56
"721",14,1445,15,1,56
"722",14,1446,15,0,56
"723",14,1447,15,1,56
"724",14,1448,15,1,56
"725",14,1450,15,0,56
"726",14,1451,15,0,56
"727",14,1454,15,1,56
"728",14,1455,15,1,56
"729",14,1461,15,0,56
"730",14,1465,15,0,56
"731",14,1467,15,0,56
"732",14,1469,15,1,56
"733",14,1472,15,1,56
"734",14,1473,15,0,56
"735",14,1475,15,0,56
"736",14,1476,15,1,56
"737",14,1479,15,1,56
"738",14,1482,15,1,56
"739",14,1483,15,1,56
"740",14,1484,15,1,56
"741",14,1487,15,0,56
"742",14,1488,15,0,56
"743",14,1489,15,1,56
"744",14,1491,15,0,56
"745",14,1492,15,0,56
"746",14,1493,15,0,56
"747",14,1494,15,0,56
"748",14,1498,15,1,56
"749",14,1499,15,0,56
"750",14,1502,15,0,56
"751",14,1503,15,1,56
"752",14,1507,15,0,56
"753",14,1509,15,0,56
"754",14,1511,15,1,56
"755",14,1514,15,0,56
"756",14,1516,15,0,56
"757",14,1517,15,0,56
"758",14,1519,15,1,56
"759",14,1521,15,1,56
"760",14,1522,15,0,56
"761",14,1523,15,0,56
"762",14,1524,15,1,56
"763",14,1526,15,0,56
"764",14,1527,16,0,56
"765",14,1528,16,0,56
"766",14,1531,16,0,56
"767",14,1533,16,0,56
"768",14,1534,16,0,56
"769",14,1539,16,0,56
"770",14,1540,16,0,56
"771",14,1541,16,0,56
"772",14,1542,16,0,56
"773",14,1544,16,0,56
"774",14,1545,16,0,56
"775",14,1546,16,0,56
"776",14,1548,16,0,56
"777",14,1549,16,0,56
"778",14,1550,16,0,56
"779",14,1553,16,0,56
"780",14,1555,16,0,56
"781",14,1558,16,0,56
"782",14,1561,16,0,56
"783",14,1562,16,0,56
"784",14,1563,16,0,56
"785",14,1566,16,0,56
"786",14,1567,16,0,56
"787",14,1571,16,0,56
"788",14,1572,16,0,56
"789",14,1575,16,0,56
"790",14,1576,16,0,56
"791",14,1577,16,0,56
"792",14,1579,16,0,56
"793",14,1580,16,0,56
"794",14,1582,16,0,56
