0_0_488_200_0,1_0_506_200_8,2_0_489_200_0,3_0_519_200_5,4_1_487_200_0,5_1_508_200_17,6_0_484_200_16,7_1_492_200_8,8_1_517_200_13,9_1_496_200_1,10_0_494_200_13,11_1_490_200_0,12_0_485_200_0,13_1_485_200_0,14_1_497_200_0,15_0_484_200_0,16_0_507_200_0,17_1_491_200_9,18_0_494_200_4,19_1_485_200_11,
0_1_488_200_12,1_1_491_200_4,2_0_507_200_4,3_1_485_200_3,4_1_499_200_6,5_0_487_200_6,6_1_493_200_0,7_0_480_200_5,8_0_501_200_0,9_1_500_200_10,10_1_512_200_20,11_1_482_200_4,12_0_487_200_5,13_0_511_200_2,14_1_505_200_0,15_0_508_200_1,16_0_518_200_3,17_0_494_200_0,18_1_503_200_23,19_0_495_200_10,
0_0_506_199_5,1_1_494_200_4,2_1_496_200_0,3_1_494_200_6,4_1_504_200_11,5_0_520_200_2,6_0_498_200_1,7_0_516_200_16,8_0_480_200_13,9_1_504_200_0,10_0_481_200_11,11_0_481_200_0,12_1_500_200_1,13_0_509_200_11,14_1_500_200_0,15_1_499_200_0,16_1_493_200_0,17_0_481_200_12,18_0_488_200_0,19_1_489_200_0,
0_0_479_200_12,1_0_493_200_5,2_0_517_200_9,3_0_484_200_15,4_1_507_200_4,5_1_517_200_18,6_0_488_200_5,7_0_515_200_8,8_1_484_200_4,9_0_490_200_9,10_1_495_200_13,11_1_511_200_1,12_0_504_200_9,13_1_495_200_7,14_0_490_200_3,15_0_500_200_3,16_1_512_200_0,17_1_505_200_0,18_1_484_200_0,19_1_518_200_2,
0_1_506_200_0,1_0_510_200_0,2_1_497_200_0,3_0_505_200_5,4_0_498_200_3,5_1_515_200_15,6_0_487_200_0,7_0_517_200_0,8_1_502_200_14,9_0_519_200_0,10_1_502_200_6,11_1_483_200_13,12_1_489_200_11,13_0_515_200_0,14_1_516_200_5,15_0_483_200_1,16_0_519_200_13,17_0_512_200_0,18_1_514_200_10,19_1_514_200_14,
0_1_491_199_12,1_1_487_200_0,2_1_489_200_1,3_0_486_200_9,4_0_512_200_17,5_1_511_200_0,6_1_520_200_9,7_0_514_200_11,8_1_509_200_7,9_1_484_200_14,10_0_516_200_6,11_0_517_200_0,12_1_509_200_7,13_1_517_200_0,14_0_494_200_0,15_1_492_200_6,16_0_492_200_0,17_0_483_200_0,18_0_508_200_7,19_0_499_200_0,
0_1_485_200_4,1_1_518_200_0,2_1_492_200_18,3_1_483_200_10,4_1_502_200_9,5_0_517_200_0,6_0_511_200_10,7_1_515_200_0,8_0_520_200_0,9_1_480_200_11,10_0_513_200_14,11_0_487_200_8,12_1_495_200_0,13_0_486_200_0,14_1_511_200_7,15_0_495_200_0,16_0_480_200_1,17_0_480_200_8,18_1_506_200_0,19_0_482_200_0,
0_1_492_200_16,1_1_482_200_6,2_0_486_200_8,3_1_487_200_15,4_0_498_200_9,5_1_497_200_9,6_0_484_200_12,7_0_502_200_2,8_1_517_200_0,9_0_493_200_5,10_1_516_200_0,11_1_497_200_2,12_1_508_200_2,13_1_501_200_4,14_1_482_200_0,15_0_486_200_4,16_0_502_200_4,17_0_488_200_9,18_0_481_200_7,19_0_500_200_14,
0_1_484_199_0,1_0_515_200_11,2_0_481_200_0,3_1_502_200_9,4_1_516_200_0,5_0_499_200_2,6_0_485_200_1,7_1_517_200_0,8_0_514_200_0,9_0_501_200_1,10_0_490_200_9,11_1_486_200_2,12_1_487_200_10,13_1_495_200_0,14_0_485_200_2,15_0_492_200_0,16_1_492_200_0,17_1_518_200_0,18_0_504_200_16,19_1_481_200_10,
0_1_506_200_2,1_1_491_200_0,2_1_496_200_0,3_1_512_200_0,4_0_512_200_0,5_1_497_200_0,6_1_507_200_17,7_0_482_200_2,8_1_497_200_0,9_1_500_200_0,10_0_506_200_0,11_0_503_200_0,12_1_486_200_18,13_0_486_200_10,14_1_481_200_10,15_0_519_200_3,16_0_511_200_0,17_0_489_200_0,18_0_517_200_0,19_0_483_200_17,
0_1_504_199_6,1_1_484_200_7,2_0_498_200_7,3_0_485_200_3,4_1_519_200_0,5_1_503_200_12,6_1_513_200_0,7_0_482_200_8,8_0_520_200_0,9_0_482_200_0,10_1_484_200_4,11_1_503_200_0,12_1_506_200_13,13_0_504_200_3,14_0_494_200_0,15_0_500_200_3,16_0_511_200_14,17_0_511_200_8,18_1_494_200_13,19_1_489_200_0,
0_1_491_200_0,1_0_518_200_0,2_0_488_200_2,3_0_482_200_0,4_1_508_200_6,5_1_507_200_6,6_1_514_200_0,7_0_503_200_10,8_1_502_200_0,9_1_493_200_0,10_1_504_200_0,11_0_519_200_0,12_0_501_200_0,13_0_515_200_22,14_1_489_200_2,15_1_509_200_9,16_0_511_200_3,17_0_514_200_2,18_0_509_200_3,19_1_498_200_1,
0_0_488_200_0,1_0_516_200_0,2_0_497_200_0,3_1_512_200_3,4_1_517_200_0,5_1_495_200_3,6_1_516_200_5,7_1_492_200_0,8_1_504_200_6,9_1_516_200_0,10_1_493_200_7,11_0_486_200_4,12_0_489_200_11,13_0_491_200_0,14_0_496_200_13,15_0_487_200_3,16_0_508_200_0,17_0_499_200_6,18_1_500_200_0,19_1_480_200_10,
0_1_502_200_5,1_1_518_200_13,2_1_489_200_0,3_0_509_200_0,4_1_485_200_4,5_1_480_200_10,6_0_503_200_0,7_0_503_200_10,8_1_517_200_5,9_0_487_200_0,10_0_487_200_28,11_1_500_200_0,12_1_516_200_0,13_0_515_200_2,14_1_511_200_0,15_0_515_200_3,16_0_517_200_0,17_0_520_200_1,18_0_507_200_10,19_1_504_200_7,
0_1_498_200_8,1_0_485_200_3,2_1_513_200_9,3_1_498_200_0,4_0_494_200_8,5_0_492_200_6,6_1_484_200_6,7_0_504_200_4,8_0_520_200_0,9_0_480_200_0,10_1_508_200_8,11_1_508_200_18,12_0_516_200_2,13_1_487_200_19,14_0_505_200_0,15_0_511_200_0,16_1_482_200_0,17_1_481_200_3,18_1_480_200_0,19_0_505_200_0,
0_0_501_200_7,1_0_519_200_13,2_1_485_200_1,3_0_492_200_1,4_0_481_200_11,5_0_507_200_9,6_1_500_200_3,7_0_494_200_18,8_1_491_200_0,9_0_499_200_12,10_1_489_200_0,11_1_481_200_10,12_1_488_200_3,13_1_490_200_0,14_1_499_200_19,15_1_503_200_5,16_0_501_200_0,17_0_481_200_3,18_0_493_200_6,19_1_496_200_4,
0_0_517_199_1,1_1_503_200_15,2_0_491_200_0,3_1_503_200_11,4_0_482_200_5,5_1_507_200_18,6_1_520_200_0,7_1_497_200_0,8_0_484_200_0,9_0_493_200_0,10_1_503_200_0,11_1_482_200_14,12_0_494_200_6,13_0_493_200_11,14_1_503_200_6,15_1_497_200_4,16_1_502_200_5,17_0_482_200_4,18_0_491_200_0,19_0_480_200_7,
0_1_510_199_0,1_1_507_200_4,2_1_520_200_1,3_0_485_200_12,4_0_509_200_10,5_1_511_200_4,6_0_509_200_13,7_0_499_200_6,8_0_500_200_0,9_1_516_200_17,10_0_506_200_2,11_1_491_200_0,12_1_512_200_11,13_0_487_200_12,14_1_509_200_3,15_0_488_200_0,16_1_501_200_0,17_0_488_200_0,18_0_486_200_0,19_1_482_200_2,
0_1_512_199_0,1_0_511_200_10,2_0_492_200_6,3_0_515_200_1,4_0_517_200_2,5_1_483_200_0,6_0_501_200_10,7_1_492_200_3,8_0_485_200_0,9_1_510_200_0,10_0_515_200_0,11_0_495_200_21,12_0_516_200_25,13_1_485_200_1,14_0_480_200_0,15_1_492_200_4,16_1_518_200_0,17_1_488_200_11,18_1_502_200_0,19_1_509_200_4,
