I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
0,51,2,78,-3.951243718581427,-3.270835563798912,
5,46,10,76,-2.0583881324820035,-1.9459101490553135,
1,36,7,73,-2.917770732084279,-2.2246235515243336,
1,15,4,17,-2.0794415416798357,-1.2809338454620642,
1,78,4,108,-3.676300671907076,-3.0819099697950434,
4,74,5,130,-2.70805020110221,-3.0834378539730967,
8,68,12,104,-2.03688192726104,-2.089010992695987,
3,52,7,83,-2.583997552432231,-2.3513752571634776,
0,14,0,11,-2.70805020110221,-2.4849066497880004,
0,19,4,19,-2.995732273553991,-1.3862943611198906,
1,27,1,31,-2.639057329615259,-2.772588722239781,
0,17,0,17,-2.890371757896165,-2.890371757896165,
2,15,5,19,-1.6739764335716716,-1.2039728043259361,
0,16,3,26,-2.833213344056216,-1.9095425048844386,
1,2,4,6,-0.40546510810816444,-0.3364722366212129,
0,16,2,26,-2.833213344056216,-2.1972245773362196,
2,36,4,52,-2.512305623976115,-2.3608540011180215,
7,44,11,70,-1.7272209480904839,-1.777773227253315,
2,82,4,132,-3.3202283191284883,-3.2809112157876537,
4,5,13,9,-0.1823215567939546,0.3364722366212129,
2,43,3,58,-2.6855773452501515,-2.691243082785829,
1,33,1,47,-2.833213344056216,-3.1780538303479458,
1,30,3,46,-2.740840023925201,-2.463853240590168,
1,71,4,112,-3.58351893845611,-3.1179499062782403,
7,67,12,91,-2.1400661634962708,-1.9568392195875037,
2,41,9,33,-2.639057329615259,-1.2237754316221157,
2,35,3,32,-2.4849066497880004,-2.1102132003465894,
4,62,1,85,-2.5336968139574325,-3.7612001156935624,
0,17,2,36,-2.890371757896165,-2.512305623976115,
0,5,3,22,-1.791759469228055,-1.749199854809259,
3,20,2,32,-1.6582280766035324,-2.3978952727983707,
3,35,6,30,-2.1972245773362196,-1.488077055429833,
6,11,11,31,-0.5389965007326869,-0.9808292530117262,
1,15,4,11,-2.0794415416798357,-0.8754687373538999,
2,11,7,15,-1.3862943611198906,-0.6931471805599453,
3,29,4,61,-2.0149030205422647,-2.517696472610991,
3,9,7,9,-0.916290731874155,-0.2231435513142097,
1,17,4,28,-2.1972245773362196,-1.7578579175523736,
0,42,2,87,-3.7612001156935624,-3.378724525810097,
0,36,0,29,-3.6109179126442243,-3.4011973816621555,
8,31,6,35,-1.2685113254635072,-1.6376087894007967,
1,127,3,162,-4.1588830833596715,-3.7074558396868715,
0,2,2,2,-1.0986122886681098,0.0,
0,12,1,28,-2.5649493574615367,-2.6741486494265287,
2,8,1,26,-1.0986122886681098,-2.6026896854443837,
0,18,2,29,-2.9444389791664407,-2.3025850929940455,
3,34,9,67,-2.169053700369523,-1.916922612182061,
6,15,7,34,-0.8266785731844679,-1.4759065198095778,
0,76,3,113,-4.343805421853684,-3.349904087274605,
0,26,4,37,-3.295836866004329,-2.0281482472922856,
5,34,7,35,-1.7635885922613588,-1.5040773967762742,
3,52,0,94,-2.583997552432231,-4.553876891600541,
0,72,2,122,-4.290459441148391,-3.713572066704308,
1,27,7,39,-2.639057329615259,-1.6094379124341003,
3,44,3,78,-2.4203681286504293,-2.9831534913471307,
11,14,14,14,-0.2231435513142097,0.0,
0,50,2,74,-3.9318256327243257,-3.2188758248682006,
1,51,2,75,-3.258096538021482,-3.2321210516182215,
4,60,4,101,-2.501435951739211,-3.0155349008501706,
2,10,14,24,-1.2992829841302609,-0.5108256237659907,
0,1,0,3,-0.6931471805599453,-1.3862943611198906,
4,7,17,15,-0.4700036292457356,0.11778303565638346,
2,19,2,20,-1.8971199848858813,-1.9459101490553135,
2,3,5,1,-0.2876820724517809,1.0986122886681098,
5,21,4,33,-1.2992829841302609,-1.916922612182061,
1,27,1,59,-2.639057329615259,-3.4011973816621555,
2,5,3,13,-0.6931471805599453,-1.252762968495368,
3,60,7,112,-2.7245795030534206,-2.6479462770325046,
0,83,2,109,-4.430816798843313,-3.6018680771243066,
8,52,15,95,-1.7730673362159024,-1.791759469228055,
4,36,7,40,-2.001480000210124,-1.6341305250244718,
6,14,8,22,-0.7621400520468967,-0.9382696385929302,
6,17,7,15,-0.9444616088408514,-0.6931471805599453,
6,68,5,79,-2.2881963555419462,-2.5902671654458267,
4,3,8,9,0.22314355131420976,-0.10536051565782628,
5,12,3,14,-0.7731898882334817,-1.3217558399823195,
2,21,6,21,-1.9924301646902063,-1.1451323043030026,
0,19,0,22,-2.995732273553991,-3.1354942159291497,
3,8,2,15,-0.8109302162163288,-1.6739764335716716,
0,67,0,73,-4.219507705176107,-4.304065093204169,
1,25,0,34,-2.5649493574615367,-3.5553480614894135,
1,27,4,34,-2.639057329615259,-1.9459101490553135,
0,29,6,49,-3.4011973816621555,-1.9661128563728327,
3,82,10,126,-3.0325462466767075,-2.4462918136602205,
0,125,1,188,-4.836281906951478,-4.548599834499697,
7,73,8,107,-2.2246235515243336,-2.4849066497880004,
1,71,5,98,-3.58351893845611,-2.803360380906535,
2,47,10,89,-2.772588722239781,-2.1019143975318944,
2,26,14,32,-2.1972245773362196,-0.7884573603642702,
4,95,18,111,-2.9549102790337356,-1.7740598921286541,
4,112,7,126,-3.1179499062782403,-2.7647455447787554,
4,27,7,33,-1.7227665977411035,-1.4469189829363254,
7,19,5,22,-0.916290731874155,-1.3437347467010947,
4,62,8,98,-2.5336968139574325,-2.3978952727983707,
